Date,CLOSE,TimeGPT-lo-50,TimeGPT-lo-80,TimeGPT-lo-90,TimeGPT-hi-50,TimeGPT-hi-80,TimeGPT-hi-90
2014-11-04,45.94,44.31,42.83,41.95,47.58,49.05,49.94
2014-11-05,46.03,44.39,42.92,42.04,47.67,49.14,50.02
2014-11-06,45.44,43.8,42.33,41.45,47.08,48.55,49.43
2014-11-07,46.31,44.67,43.2,42.31,47.94,49.42,50.3
2014-11-08,46.47,44.83,43.36,42.47,48.1,49.58,50.46
2014-11-09,46.69,45.05,43.58,42.7,48.33,49.8,50.68
2014-11-10,46.82,45.18,43.71,42.83,48.46,49.93,50.81
2014-11-11,47.0,45.36,43.89,43.01,48.63,50.11,50.99
2014-11-12,47.23,45.59,44.12,43.24,48.87,50.34,51.22
2014-11-13,48.1,46.46,44.99,44.1,49.73,51.21,52.09
2014-11-14,48.03,46.39,44.92,44.04,49.67,51.14,52.02
