Date,S&P 500,Dow Jones,NASDAQ 100,Nikkei 225,FTSE 100,DAX 30
2013-10-07,1676.1199951171875,14936.240234375,3215.68994140625,13853.3203125,6437.2998046875,8591.580078125
2013-10-08,1655.449951171875,14776.5302734375,3153.8701171875,13894.6103515625,6365.7998046875,8555.8896484375
2013-10-09,1656.4000244140625,14802.98046875,3142.5400390625,14037.83984375,6337.89990234375,8516.6904296875
2013-10-10,1692.56005859375,15126.0703125,3210.840087890625,14194.7099609375,6430.5,8685.76953125
2013-10-11,1703.199951171875,15237.1103515625,3233.830078125,14404.740234375,6487.2001953125,8724.830078125
2013-10-14,1710.1400146484375,15301.259765625,3256.02001953125,,6507.7001953125,8723.8095703125
2013-10-15,1698.06005859375,15168.009765625,3244.659912109375,14441.5400390625,6549.10009765625,8804.4404296875
2013-10-16,1721.5400390625,15373.830078125,3281.669921875,14467.1396484375,6571.60009765625,8846.0
2013-10-17,1733.1500244140625,15371.650390625,3301.280029296875,14586.509765625,6576.2001953125,8811.98046875
2013-10-18,1744.5,15399.650390625,3353.8798828125,14561.5400390625,6622.60009765625,8865.099609375
2013-10-21,1744.6600341796875,15392.2001953125,3361.179931640625,14693.5703125,6654.2001953125,8867.2197265625
2013-10-22,1754.6700439453125,15467.66015625,3366.929931640625,14713.25,6695.7001953125,8947.4599609375
2013-10-23,1746.3800048828125,15413.330078125,3346.050048828125,14426.0498046875,6674.5,8919.8603515625
2013-10-24,1752.0699462890625,15509.2099609375,3362.3798828125,14486.41015625,6713.2001953125,8980.6298828125
2013-10-25,1759.77001953125,15570.2802734375,3383.830078125,14088.1904296875,6721.2998046875,8985.740234375
2013-10-28,1762.1099853515625,15568.9296875,3382.679931640625,14396.0400390625,6725.7998046875,8978.650390625
2013-10-29,1771.949951171875,15680.349609375,3391.75,14325.98046875,6774.7001953125,9022.0400390625
2013-10-30,1763.31005859375,15618.759765625,3385.3798828125,14502.349609375,6777.7001953125,9010.26953125
2013-10-31,1756.5400390625,15545.75,3377.72998046875,14327.9404296875,6731.39990234375,9033.919921875
2013-11-01,1761.6400146484375,15615.5498046875,3379.760009765625,14201.5703125,6734.7001953125,9007.830078125
2013-11-04,1767.9300537109375,15639.1201171875,3384.75,,6763.60009765625,9037.23046875
2013-11-05,1762.969970703125,15618.2197265625,3388.820068359375,14225.3701171875,6746.7998046875,9009.1103515625
2013-11-06,1770.489990234375,15746.8798828125,3385.3798828125,14337.3095703125,6741.7001953125,9040.8701171875
2013-11-07,1747.1500244140625,15593.98046875,3321.409912109375,14228.4404296875,6697.2001953125,9081.0302734375
2013-11-08,1770.6099853515625,15761.7802734375,3366.840087890625,14086.7998046875,6708.39990234375,9078.2802734375
2013-11-11,1771.8900146484375,15783.099609375,3362.97998046875,14269.83984375,6728.39990234375,9107.8603515625
2013-11-12,1767.68994140625,15750.669921875,3365.22998046875,14588.6796875,6726.7998046875,9076.48046875
2013-11-13,1782.0,15821.6298828125,3405.56005859375,14567.16015625,6630.0,9054.830078125
2013-11-14,1790.6199951171875,15876.2197265625,3415.139892578125,14876.41015625,6666.10009765625,9149.66015625
2013-11-15,1798.1800537109375,15961.7001953125,3422.580078125,15165.919921875,6693.39990234375,9168.6904296875
2013-11-18,1791.530029296875,15976.01953125,3388.8701171875,15164.2998046875,6723.5,9225.4296875
2013-11-19,1787.8699951171875,15967.0302734375,3378.1298828125,15126.5595703125,6698.0,9193.2900390625
2013-11-20,1781.3699951171875,15900.8203125,3367.169921875,15076.080078125,6681.10009765625,9202.0703125
2013-11-21,1795.8499755859375,16009.990234375,3402.739990234375,15365.599609375,6681.2998046875,9196.080078125
2013-11-22,1804.760009765625,16064.76953125,3422.02001953125,15381.7197265625,6674.2998046875,9219.0400390625
2013-11-25,1802.47998046875,16072.5400390625,3427.489990234375,15619.1298828125,6694.60009765625,9299.9501953125
2013-11-26,1802.75,16072.7998046875,3445.760009765625,15515.240234375,6636.2001953125,9290.0703125
2013-11-27,1807.22998046875,16097.330078125,3470.47998046875,15449.6298828125,6649.5,9351.1298828125
2013-11-28,,,,15727.1201171875,6654.5,9387.3701171875
2013-11-29,1805.81005859375,16086.41015625,3487.820068359375,15661.8701171875,6650.60009765625,9405.2998046875
2013-12-02,1800.9000244140625,16008.76953125,3481.14990234375,15655.0703125,6595.2998046875,9401.9599609375
2013-12-03,1795.1500244140625,15914.6201171875,3479.340087890625,15749.66015625,6532.39990234375,9223.400390625
2013-12-04,1792.81005859375,15889.76953125,3483.010009765625,15407.9404296875,6510.0,9140.6298828125
2013-12-05,1785.030029296875,15821.509765625,3477.72998046875,15177.490234375,6498.2998046875,9084.9501953125
2013-12-06,1805.0899658203125,16020.2001953125,3504.260009765625,15299.8603515625,6552.0,9172.41015625
2013-12-09,1808.3699951171875,16025.5302734375,3516.169921875,15650.2099609375,6559.5,9195.169921875
2013-12-10,1802.6199951171875,15973.1298828125,3514.199951171875,15611.3095703125,6523.2998046875,9114.4404296875
2013-12-11,1782.219970703125,15843.5302734375,3468.989990234375,15515.0595703125,6507.7001953125,9077.1103515625
2013-12-12,1775.5,15739.4296875,3460.2900390625,15341.8203125,6445.2998046875,9017.0
2013-12-13,1775.3199462890625,15755.3603515625,3456.39990234375,15403.1103515625,6440.0,9006.4599609375
2013-12-16,1786.5400390625,15884.5703125,3475.7900390625,15152.91015625,6522.2001953125,9163.5595703125
2013-12-17,1781.0,15875.259765625,3469.320068359375,15278.6298828125,6486.2001953125,9085.1201171875
2013-12-18,1810.6500244140625,16167.9697265625,3509.6298828125,15587.7998046875,6492.10009765625,9181.75
2013-12-19,1809.5999755859375,16179.080078125,3498.6298828125,15859.2197265625,6584.7001953125,9335.740234375
2013-12-20,1818.3199462890625,16221.1396484375,3531.18994140625,15870.419921875,6606.60009765625,9400.1796875
2013-12-23,1827.989990234375,16294.6103515625,3569.39990234375,,6678.60009765625,9488.8203125
2013-12-24,1833.3199462890625,16357.5498046875,3572.800048828125,15889.330078125,6694.2001953125,
2013-12-25,,,,16009.990234375,,
2013-12-26,1842.02001953125,16479.880859375,3584.580078125,16174.4404296875,,
2013-12-27,1841.4000244140625,16478.41015625,3574.02001953125,16178.9404296875,6750.89990234375,9589.3896484375
